891234,1,65,2,58,3,45,4,60,5,50,12,48,42,42,46,60
783461,3,65,1,58,2,45,125,60,137,68,126,100,57,77,4,60
564865,218,100,2,50,1,100,5,67,8,55,3,98,9,45,57,78
274657,1,57,218,94,3,45,6,75,2,87,8,34,5,98,54,34
456123,5,36,218,68,3,45,6,59,1,56,2,78,8,87,12,74
159357,13,67,47,68,218,89,1,75,3,64,2,95,137,61,217,84
486291,126,100,83,58,2,56,3,79,1,92,65,57,47,83,48,67
951374,1,87,2,68,3,78,218,65,54,75,13,64,9,68,10,75
147963,27,51,46,57,1,67,2,89,3,67,41,78,52,69,137,76
258963,565,83,221,57,200,87,1,64,2,97,3,79,218,100,125,84
